book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
50,30119,30119,30518,45,60513039,9780060513030.0,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng,4.29,1016888,1023781,9234,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg
53,113436,113436,3178011,217,375826696,9780375826700.0,Christopher Paolini,2002.0,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021,1125231,18280,50563,88536,240157,337943,408032,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg
56,1162543,1162543,2960529,183,031606792X,9780316067930.0,Stephenie Meyer,2008.0,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US,3.7,1070245,1107709,44550,100994,114893,213402,267706,410714,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg
58,2956,2956,1835605,2277,142437174,9780142437180.0,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng,3.8,953758,1001491,12448,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg
59,24178,24178,987048,180,64410935,9780064410940.0,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,Charlotte's Web,eng,4.15,1064521,1084842,13044,18450,41124,191415,346090,487763,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg
62,119322,119322,1536771,287,679879242,9780679879240.0,Philip Pullman,1995.0,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,994914,14915,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg
70,375802,375802,2422333,224,812550706,9780812550700.0,Orson Scott Card,1985.0,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,873417,38054,15330,27612,103439,264207,462829,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg
77,38709,38709,1679789,138,439244196,9780439244190.0,"Louis Sachar, Louis Sachar",1998.0,Holes,"Holes (Holes, #1)",eng,3.93,747445,764637,15832,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg
80,157993,157993,2180358,1708,156012197,9780156012200.0,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,The Little Prince,eng,4.28,738757,859286,24537,15039,32866,114714,228440,468227,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg
84,7677,6424171,3376836,176,030734813X,9780307348140.0,Michael Crichton,1990.0,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",spa,3.96,447833,650483,8143,15736,34222,138327,231583,230615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
85,370493,370493,30530,81,60256656,9780060256650.0,Shel Silverstein,1964.0,The Giving Tree,The Giving Tree,eng,4.38,702332,708287,14368,15345,20408,76071,167542,428921,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg
89,21787,21787,992628,129,345418263,9780345418260.0,William Goldman,1973.0,The Princess Bride,The Princess Bride ,en-US,4.25,628637,658042,15630,12883,21641,89236,196047,338235,https://images.gr-assets.com/books/1327903636m/21787.jpg,https://images.gr-assets.com/books/1327903636s/21787.jpg
90,231804,231804,1426690,156,014038572X,9780140385720.0,S.E. Hinton,1967.0,The Outsiders,The Outsiders,en-US,4.06,659248,680437,22662,10178,34346,134244,227250,274419,https://images.gr-assets.com/books/1442129426m/231804.jpg,https://images.gr-assets.com/books/1442129426s/231804.jpg
93,2998,2998,3186437,1350,517189607,9780517189600.0,Frances Hodgson Burnett,1911.0,The Secret Garden,The Secret Garden,eng,4.12,639357,692249,13054,8005,25207,129646,243821,285570,https://images.gr-assets.com/books/1327873635m/2998.jpg,https://images.gr-assets.com/books/1327873635s/2998.jpg
102,19543,19543,3020535,110,99408392,9780099408390.0,Maurice Sendak,1963.0,Where the Wild Things Are,Where the Wild Things Are,eng,4.22,620618,636061,9102,15392,27532,93700,167043,332394,https://images.gr-assets.com/books/1384434560m/19543.jpg,https://images.gr-assets.com/books/1384434560s/19543.jpg
103,7126,7126,391568,1310,140449264,9780140449270.0,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,The Count of Monte Cristo,eng,4.21,555822,601220,15925,10381,22482,89980,183142,295235,https://images.gr-assets.com/books/1309203605m/7126.jpg,https://images.gr-assets.com/books/1309203605s/7126.jpg
116,24583,24583,41326609,2448,143039563,9780143039560.0,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,eng,3.89,555359,594226,7165,12130,34349,143659,217896,186192,https://images.gr-assets.com/books/1404811979m/24583.jpg,https://images.gr-assets.com/books/1404811979s/24583.jpg
117,18131,18131,948387,165,440498058,9780440498060.0,Madeleine L'Engle,1962.0,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",en-US,4.04,615907,650094,19413,17313,34988,119115,209745,268933,https://images.gr-assets.com/books/1329061522m/18131.jpg,https://images.gr-assets.com/books/1329061522s/18131.jpg
120,452306,452306,1058370,93,385729332,9780385729340.0,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",eng,3.75,525706,536604,6477,14996,42396,152024,177404,149784,https://images.gr-assets.com/books/1461611233m/452306.jpg,https://images.gr-assets.com/books/1461611233s/452306.jpg
133,8127,8127,3464264,1314,451528824,9780451528830.0,L.M. Montgomery,1908.0,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",eng,4.23,502247,533352,14041,8864,19531,80256,158725,265976,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
151,28186,28186,43554,121,786856866,9780786856860.0,Rick Riordan,2006.0,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",eng,4.23,514932,550512,20097,2967,13884,91127,188988,253546,https://images.gr-assets.com/books/1400602661m/28186.jpg,https://images.gr-assets.com/books/1400602661s/28186.jpg
155,15241,15241,2963845,453,618346260,9780618346260.0,J.R.R. Tolkien,1954.0,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",en-US,4.42,480446,532209,6980,3013,10264,55433,156232,307267,https://images.gr-assets.com/books/1298415523m/15241.jpg,https://images.gr-assets.com/books/1298415523s/15241.jpg
157,23772,23772,86934,72,394800168,9780394800160.0,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,Green Eggs and Ham,en-US,4.29,457475,461041,7370,6605,14530,66873,121751,251282,https://images.gr-assets.com/books/1468680100m/23772.jpg,https://images.gr-assets.com/books/1468680100s/23772.jpg
158,6310,6310,2765786,338,142403881,9780142403880.0,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",eng,4.1,453959,494747,8473,6236,17193,94240,178216,198862,https://images.gr-assets.com/books/1309211401m/6310.jpg,https://images.gr-assets.com/books/1309211401s/6310.jpg
159,2120932,2120932,2377629,92,1423101464,9781423101470.0,Rick Riordan,2008.0,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",eng,4.39,508214,537708,14098,2435,8093,62108,172289,292783,https://images.gr-assets.com/books/1443142158m/2120932.jpg,https://images.gr-assets.com/books/1443142158s/2120932.jpg
161,18512,18512,2964424,470,345339738,9780345339740.0,J.R.R. Tolkien,1955.0,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",en-US,4.51,463959,510537,6644,2691,8008,42693,132149,324996,https://images.gr-assets.com/books/1389977161m/18512.jpg,https://images.gr-assets.com/books/1389977161s/18512.jpg
163,7736182,7736182,10107891,72,142311339X,9781423113390.0,Rick Riordan,2010.0,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",eng,4.35,271576,489495,17107,5020,11267,58590,148498,266120,https://images.gr-assets.com/books/1464201003m/7736182.jpg,https://images.gr-assets.com/books/1464201003s/7736182.jpg
175,4502507,4556058,4551489,87,739380338,9780739380340.0,Rick Riordan,2009.0,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",eng,4.5,397500,499510,17693,2098,6501,45208,133168,312535,https://images.gr-assets.com/books/1327924597m/4502507.jpg,https://images.gr-assets.com/books/1327924597s/4502507.jpg
176,18342,830502,150259,7,451169514,9780451169520.0,Stephen King,1986.0,It,It,en-US,4.18,292592,479381,11698,8464,19610,75841,148672,226794,https://images.gr-assets.com/books/1309376909m/18342.jpg,https://images.gr-assets.com/books/1309376909s/18342.jpg
184,39988,39988,1015554,242,141301066,9780141301070.0,"Roald Dahl, Quentin Blake",1988.0,Matilda,Matilda,eng,4.29,440743,463491,11053,4277,10823,64536,152003,231852,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
187,24770,24770,2895388,98,689865384,9780689865380.0,Scott Westerfeld,2005.0,Uglies,"Uglies (Uglies, #1)",eng,3.86,449073,464589,21234,15531,34808,106086,151540,156624,https://images.gr-assets.com/books/1443904172m/24770.jpg,https://images.gr-assets.com/books/1443904172s/24770.jpg
189,33,33,3462456,380,618640150,9780618640160.0,J.R.R. Tolkien,1955.0,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",eng,4.47,389054,436346,9365,4807,9577,37552,106818,277592,https://images.gr-assets.com/books/1411114164m/33.jpg,https://images.gr-assets.com/books/1411114164s/33.jpg
204,5326,5326,3097440,2380,1561797464,9781561797460.0,Charles Dickens,1843.0,A Christmas Carol,A Christmas Carol,,4.02,394540,441396,11568,6737,21415,93906,153823,165515,https://images.gr-assets.com/books/1406512317m/5326.jpg,https://images.gr-assets.com/books/1406512317s/5326.jpg
214,561456,561456,2936530,94,141382899,9780141382890.0,Rick Riordan,2007.0,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",eng,4.33,446668,486262,15418,1863,7934,65220,162371,248874,https://images.gr-assets.com/books/1361038385m/561456.jpg,https://images.gr-assets.com/books/1361038385s/561456.jpg
219,11127,11127,781271,270,66238501,9780066238500.0,"C.S. Lewis, Pauline Baynes",1956.0,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",eng,4.24,376385,401676,8871,3772,12192,59975,133056,192681,https://images.gr-assets.com/books/1449868701m/11127.jpg,https://images.gr-assets.com/books/1449868701s/11127.jpg
221,60748,60748,59104,74,1558743669,9781558743660.0,Dave Pelzer,1995.0,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)",eng,4.08,311543,321298,13729,7819,16453,57341,98786,140899,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
223,249747,249747,1334778,163,786817879,9780786817870.0,Eoin Colfer,2001.0,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",eng,3.82,386923,399165,8384,14473,30894,94950,129607,129241,https://images.gr-assets.com/books/1327945104m/249747.jpg,https://images.gr-assets.com/books/1327945104s/249747.jpg
229,24213,24213,2375385,845,451527747,9780451527740.0,"Lewis Carroll, John Tenniel, Martin Gardner",1865.0,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland & Through the Looking-Glass,eng,4.06,340920,377190,7736,5294,17482,76985,127906,149523,https://images.gr-assets.com/books/1327872220m/24213.jpg,https://images.gr-assets.com/books/1327872220s/24213.jpg
234,439288,439288,118521,87,014131088X,9780141310890.0,Laurie Halse Anderson,1999.0,Speak,Speak,eng,4.0,360156,372404,18379,7770,21049,76503,125660,141422,https://images.gr-assets.com/books/1310121762m/439288.jpg,https://images.gr-assets.com/books/1310121762s/439288.jpg
241,47281,47281,2677305,81,440227534,9780440227530.0,Lois Lowry,1989.0,Number the Stars,Number the Stars,eng,4.11,333638,342365,10304,3797,12794,63919,123296,138559,https://images.gr-assets.com/books/1370917812m/47281.jpg,https://images.gr-assets.com/books/1370917812s/47281.jpg
245,2839,2839,2237401,125,439366771,9780439366780.0,Katherine Paterson,1977.0,Bridge to Terabithia,Bridge to Terabithia,eng,3.98,337644,353474,9270,8287,20081,74409,119504,131193,https://images.gr-assets.com/books/1327880087m/2839.jpg,https://images.gr-assets.com/books/1327880087s/2839.jpg
251,233093,233093,267087,99,039480001X,9780394800010.0,Dr. Seuss,1957.0,The Cat in the Hat,The Cat in the Hat,eng,4.15,314016,317182,4299,6179,14497,57850,85944,152712,https://images.gr-assets.com/books/1468890477m/233093.jpg,https://images.gr-assets.com/books/1468890477s/233093.jpg
257,13023,13023,2933712,4,517223627,9780517223630.0,"Jane Carruth, Lewis Carroll, Rene Cloke",1865.0,,Alice in Wonderland,eng,4.03,343252,343271,4876,7467,18101,70170,109730,137803,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
263,24337,24337,2485462,61,590920685,9780590920680.0,Gail Carson Levine,1997.0,Ella Enchanted,Ella Enchanted,eng,3.97,339117,345749,8534,6619,20066,80272,110568,128224,https://images.gr-assets.com/books/1410727190m/24337.jpg,https://images.gr-assets.com/books/1410727190s/24337.jpg
265,14891,14891,833257,127,61120073,9780061120080.0,Betty  Smith,1943.0,A Tree Grows In Brooklyn ,A Tree Grows in Brooklyn,eng,4.24,291909,309000,16088,3693,9667,43734,103879,148027,https://images.gr-assets.com/books/1327883484m/14891.jpg,https://images.gr-assets.com/books/1327883484s/14891.jpg
271,18373,18373,3337594,163,156030306,9780156030300.0,Daniel Keyes,1966.0,Flowers for Algernon,Flowers for Algernon,en-US,4.07,313044,336199,11328,4223,14882,65106,122462,129526,https://images.gr-assets.com/books/1367141311m/18373.jpg,https://images.gr-assets.com/books/1367141311s/18373.jpg
277,15783514,15783514,21500681,109,62255657,9780062255660.0,Neil Gaiman,2013.0,The Ocean at the End of the Lane,The Ocean at the End of the Lane,eng,3.99,293844,336251,37655,7038,18089,64714,127761,118649,https://images.gr-assets.com/books/1497098563m/15783514.jpg,https://images.gr-assets.com/books/1497098563s/15783514.jpg
278,30118,30118,142009,32,60513063,9780060513060.0,Shel Silverstein,1981.0,A Light in the Attic,A Light in the Attic,eng,4.34,297861,304514,2431,3585,7593,38923,85051,169362,https://images.gr-assets.com/books/1427169918m/30118.jpg,https://images.gr-assets.com/books/1427169918s/30118.jpg
282,17061,17061,2834844,153,61139378,9780061139380.0,Neil Gaiman,2002.0,Coraline,Coraline,eng,4.03,316379,343630,13905,7078,15010,67188,126167,128187,https://images.gr-assets.com/books/1493497435m/17061.jpg,https://images.gr-assets.com/books/1493497435s/17061.jpg
289,76620,76620,1357456,193,038039586X,9780380395870.0,Richard Adams,1972.0,Watership Down,"Watership Down (Watership Down, #1)",eng,4.05,292426,308373,10399,9158,15767,52906,102093,128449,https://images.gr-assets.com/books/1405136931m/76620.jpg,https://images.gr-assets.com/books/1405136931s/76620.jpg
292,140225,140225,3349054,299,006112527X,9780061125270.0,"C.S. Lewis, Pauline Baynes",1951.0,The Voyage of the Dawn Treader,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",eng,4.08,306492,325264,4620,2658,12490,69089,112121,128906,https://images.gr-assets.com/books/1343185059m/140225.jpg,https://images.gr-assets.com/books/1343185059s/140225.jpg
293,295,295,3077988,2573,753453800,9780753453800.0,Robert Louis Stevenson,1882.0,Treasure Island,Treasure Island,eng,3.82,268012,310515,7917,5349,19127,86487,114968,84584,https://images.gr-assets.com/books/1485248909m/295.jpg,https://images.gr-assets.com/books/1485248909s/295.jpg
296,4948,4948,3144982,162,241003008,9780241003010.0,Eric Carle,1969.0,The Very Hungry Caterpillar,The Very Hungry Caterpillar Board Book,eng,4.29,296952,304528,5760,5801,11214,43549,73389,170575,https://images.gr-assets.com/books/1327878225m/4948.jpg,https://images.gr-assets.com/books/1327878225s/4948.jpg
300,39999,39999,1148702,178,385751060,9780385751060.0,John Boyne,2006.0,The Boy in the Striped Pyjamas,The Boy in the Striped Pajamas,eng,4.1,285692,325401,19058,5297,13562,54987,121193,130362,https://images.gr-assets.com/books/1366228171m/39999.jpg,https://images.gr-assets.com/books/1366228171s/39999.jpg
314,28194,28194,2628323,134,439709105,9780439709100.0,"Cornelia Funke, Anthea Bell",2003.0,Tintenherz,"Inkheart (Inkworld, #1)",en-US,3.86,285011,301414,10384,8524,22966,71494,98625,99805,https://images.gr-assets.com/books/1328866790m/28194.jpg,https://images.gr-assets.com/books/1328866790s/28194.jpg
321,10365,10365,115,69,375806814,9780375806810.0,Wilson Rawls,1961.0,Where the Red Fern Grows,Where the Red Fern Grows,,4.04,268548,280179,8725,6585,15232,53560,89699,115103,https://images.gr-assets.com/books/1166154337m/10365.jpg,https://images.gr-assets.com/books/1166154337s/10365.jpg
335,6689,6689,2379261,182,375814248,9780375814240.0,"Roald Dahl, Quentin Blake",1961.0,James and the Giant Peach,James and the Giant Peach,eng,3.99,270402,289737,5120,4235,13199,65762,104078,102463,https://images.gr-assets.com/books/1320412586m/6689.jpg,https://images.gr-assets.com/books/1320412586s/6689.jpg
339,32929,32929,1086867,98,60775858,9780060775860.0,"Margaret Wise Brown, Clement Hurd",1947.0,,Goodnight Moon,en-US,4.27,244842,252678,4604,4998,10298,37146,59629,140607,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
345,45978,45978,2035753,163,375840400,9780375840400.0,Christopher Paolini,2005.0,Eldest,"Eldest (The Inheritance Cycle, #2)",en-US,3.96,250000,274059,8284,5483,16680,58948,95907,97041,https://images.gr-assets.com/books/1387119654m/45978.jpg,https://images.gr-assets.com/books/1387119654s/45978.jpg
347,121749,121749,3348636,348,000720230X,9780007202300.0,C.S. Lewis,1951.0,Prince Caspian: The Return to Narnia,"Prince Caspian (Chronicles of Narnia, #2)",eng,3.96,250221,273069,4737,2399,12145,68026,101461,89038,https://images.gr-assets.com/books/1308814880m/121749.jpg,https://images.gr-assets.com/books/1308814880s/121749.jpg
356,78411,78411,1069597,126,439206472,9780439206470.0,"Lemony Snicket, Brett Helquist",1999.0,The Bad Beginning,"The Bad Beginning (A Series of Unfortunate Events, #1)",eng,3.89,275670,295024,12794,6701,18612,70767,102585,96359,https://images.gr-assets.com/books/1490085391m/78411.jpg,https://images.gr-assets.com/books/1490085391s/78411.jpg
358,191139,191139,2125304,40,679805273,9780679805270.0,Dr. Seuss,1990.0,"Oh, the Places You'll Go!","Oh, The Places You'll Go!",en-US,4.34,257260,260002,4021,3615,8150,33869,63795,150573,https://images.gr-assets.com/books/1421708635m/191139.jpg,https://images.gr-assets.com/books/1421708635s/191139.jpg
361,18254,18254,3057979,1787,141439742,9780141439750.0,"Charles Dickens, George Cruikshank, Philip Horne",1838.0,Oliver Twist,Oliver Twist,eng,3.85,230181,253163,5342,4766,15425,65342,96135,71495,https://images.gr-assets.com/books/1327868529m/18254.jpg,https://images.gr-assets.com/books/1327868529s/18254.jpg
364,113946,113946,267076,72,7173040,9780007173040.0,Dr. Seuss,1957.0,How the Grinch Stole Christmas!,How the Grinch Stole Christmas!,eng,4.36,250602,256127,2204,3438,7227,32673,63395,149394,https://images.gr-assets.com/books/1327958149m/113946.jpg,https://images.gr-assets.com/books/1327958149s/113946.jpg
368,119324,119324,1570229,55,679879250,9780679879250.0,Philip Pullman,1997.0,The Subtle Knife,"The Subtle Knife (His Dark Materials, #2)",eng,4.1,242503,270785,6139,3905,11486,47802,96998,110594,https://images.gr-assets.com/books/1451271814m/119324.jpg,https://images.gr-assets.com/books/1451271814s/119324.jpg
369,22232,22232,963221,85,439488400,9780439488400.0,Jerry Spinelli,2000.0,Stargirl,"Stargirl (Stargirl, #1)",eng,3.74,237560,245315,11717,9710,22399,62918,76059,74229,https://images.gr-assets.com/books/1335947642m/22232.jpg,https://images.gr-assets.com/books/1335947642s/22232.jpg
373,6319,6319,1249788,197,141311371,9780141311370.0,"Roald Dahl, Quentin Blake",1982.0,The BFG,The BFG,eng,4.22,245855,264369,7906,2987,7906,42480,86105,124891,https://images.gr-assets.com/books/1327872673m/6319.jpg,https://images.gr-assets.com/books/1327872673s/6319.jpg
375,1852,1852,3252320,1384,439227143,9780439227150.0,Jack London,1903.0,The Call of the Wild,The Call of the Wild,eng,3.83,223932,248795,6770,6366,16636,62853,90382,72558,https://images.gr-assets.com/books/1452291694m/1852.jpg,https://images.gr-assets.com/books/1452291694s/1852.jpg
386,233818,233818,3215136,127,440439884,9780440439880.0,Scott O'Dell,1960.0,Island of the Blue Dolphins,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",en-CA,3.8,236015,245968,6699,8175,19308,61975,80520,75990,https://images.gr-assets.com/books/1475166260m/233818.jpg,https://images.gr-assets.com/books/1475166260s/233818.jpg
388,50,50,1158125,93,689840926,9780689840920.0,Gary Paulsen,1986.0,Hatchet,"Hatchet (Brian's Saga, #1)",en-US,3.68,222553,231963,10378,12070,22390,59179,73180,65144,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
391,7784,7784,886002,40,679889108,9780679889110.0,Dr. Seuss,1971.0,The Lorax,The Lorax,eng,4.35,226564,230363,3231,3193,6884,29815,57259,133212,https://images.gr-assets.com/books/1327879938m/7784.jpg,https://images.gr-assets.com/books/1327879938s/7784.jpg
